Track.num,Date,Flag.num,Insolation,Air.temp,Species,Sex,Behaviour,Duration.between.flags,Duration.on.flags,Step_Distance,Turning_angle,Year,Location,Quality
161,152,1,NA,23.18,MB,M,R,NA,17.2,NA,NA,2017,JH,Nrich
161,152,2,NA,23.18,MB,M,F,15,NA,11.33111452,NA,2017,JH,Nrich
161,152,3,NA,23.18,MB,M,F,15,NA,12.25072652,289.4717334,2017,JH,Nrich
161,152,4,NA,23.18,MB,M,F,15,NA,6.525374271,26.92829771,2017,JH,Nrich
161,152,5,NA,23.18,MB,M,F,15,NA,7.459170352,342.2566652,2017,JH,Nrich
161,152,6,NA,23.18,MB,M,F,15,NA,12.80801948,68.68356179,2017,JH,Nrich
161,152,7,NA,23.18,MB,M,F,15,NA,8.806138851,294.7688517,2017,JH,Nrich
161,152,8,NA,23.18,MB,M,F,15,NA,8.248769778,38.3830524,2017,JH,Nrich
161,152,9,NA,23.18,MB,M,R,13.8,26.2,8.208782543,6.841180511,2017,JH,Nrich
161,152,10,NA,23.18,MB,M,R,10.6,9,0,293.9917589,2017,JH,Nrich
161,152,11,NA,23.18,MB,M,F,15,NA,4.892208652,59.9788028,2017,JH,Nrich
161,152,12,NA,23.18,MB,M,F,15,NA,8.448455798,353.6790791,2017,JH,Nrich
161,152,13,NA,23.18,MB,M,F,15,NA,3.481448206,7.698507341,2017,JH,Nrich
161,152,14,NA,23.18,MB,M,R,2.9,2.4,0.962455342,8.352285461,2017,JH,Nrich
161,152,14,NA,23.18,MB,M,B,NA,3.1,NA,NA,2017,JH,Nrich
161,152,15,NA,23.18,MB,M,F,15,NA,9.355982796,NA,2017,JH,Nrich
161,152,16,NA,23.18,MB,M,F,15,NA,3.750123581,343.392503,2017,JH,Nrich
161,152,17,NA,23.18,MB,M,F,15,NA,10.83106181,7.332602218,2017,JH,Nrich
161,152,18,NA,23.18,MB,M,F,15,NA,3.14936405,52.37622959,2017,JH,Nrich
161,152,19,NA,23.63,MB,M,R,13.6,2.1,6.9801915,313.2359858,2017,JH,Nrich
161,152,19,NA,23.63,MB,M,N,NA,12.6,NA,NA,2017,JH,Nrich
162,152,1,NA,23.63,MB,M,R,NA,246.7,NA,NA,2017,JH,Nrich
162,152,2,NA,23.63,MB,M,R,3.7,3.2,3.064162845,NA,2017,JH,Nrich
162,152,2,NA,23.63,MB,M,B,NA,3.5,NA,NA,2017,JH,Nrich
162,152,2,NA,23.63,MB,M,R,NA,188.8,NA,NA,2017,JH,Nrich
162,152,2,NA,23.63,MB,M,B,NA,2.9,NA,NA,2017,JH,Nrich
162,152,2,NA,23.63,MB,M,R,NA,2.1,NA,NA,2017,JH,Nrich
162,152,2,NA,23.63,MB,M,B,NA,6.9,NA,NA,2017,JH,Nrich
162,152,2,NA,23.63,MB,M,R,NA,143.3,NA,NA,2017,JH,Nrich
163,152,1,NA,23.63,MB,M,R,NA,175.2,NA,NA,2017,JH,Nrich
163,152,2,NA,23.63,MB,M,F,15,NA,5.782502112,NA,2017,JH,Nrich
163,152,3,NA,23.63,MB,M,F,15,NA,1.480587728,339.5049361,2017,JH,Nrich
163,152,4,NA,23.63,MB,M,R,0.8,34.8,0.48161637,11.87956081,2017,JH,Nrich
163,152,5,NA,23.63,MB,M,F,15,NA,5.896456458,9.394478625,2017,JH,Nrich
163,152,6,NA,23.63,MB,M,R,NA,5.4,NA,NA,2017,JH,Nrich
163,152,7,NA,23.63,MB,M,F,15,NA,3.702198478,NA,2017,JH,Nrich
163,152,8,NA,23.63,MB,M,F,15,NA,2.15265612,41.38687576,2017,JH,Nrich
163,152,9,NA,23.63,MB,M,B,8.8,27.7,2.91151404,298.4900575,2017,JH,Nrich
164,152,1,NA,23.89,MB,M,R,NA,33.4,NA,NA,2017,JH,Nrich
164,152,2,NA,23.89,MB,M,F,15,NA,14.85667171,NA,2017,JH,Nrich
164,152,3,NA,23.89,MB,M,F,15,NA,17.80785888,332.2702248,2017,JH,Nrich
164,152,4,NA,23.89,MB,M,R,12.4,101.5,10.36793629,15.24526357,2017,JH,Nrich
164,152,5,NA,23.89,MB,M,F,15,NA,19.56857602,331.2777551,2017,JH,Nrich
164,152,6,NA,23.89,MB,M,F,15,NA,15.78363803,1.132283265,2017,JH,Nrich
164,152,7,NA,23.89,MB,M,F,15,NA,35.79879614,358.8310674,2017,JH,Nrich
164,152,8,NA,23.89,MB,M,R,5.1,47.2,5.533352188,20.4350748,2017,JH,Nrich
164,152,9,NA,23.89,MB,M,F,15,NA,24.80567439,352.6917493,2017,JH,Nrich
165,152,1,NA,23.89,MB,M,R,NA,4.3,NA,NA,2017,JH,Nrich
165,152,1,NA,23.89,MB,M,B,NA,9.9,NA,NA,2017,JH,Nrich
165,152,1,NA,23.89,MB,M,R,NA,25.1,NA,NA,2017,JH,Nrich
165,152,1,NA,23.89,MB,M,B,NA,55.6,NA,NA,2017,JH,Nrich
165,152,1,NA,23.89,MB,M,R,NA,469,NA,NA,2017,JH,Nrich
165,152,2,NA,23.89,MB,M,R,8.9,29.9,5.480376461,NA,2017,JH,Nrich
166,152,1,NA,23.89,MB,M,R,NA,400.7,NA,NA,2017,JH,Nrich
167,152,1,NA,23.89,MB,M,R,NA,600.5,NA,NA,2017,JH,Nrich
168,152,1,NA,23.89,MB,M,R,NA,253.4,NA,NA,2017,JH,Nrich
168,152,1,NA,23.89,MB,M,B,NA,2.2,NA,NA,2017,JH,Nrich
168,152,1,NA,24.37,MB,M,R,NA,120.8,NA,NA,2017,JH,Nrich
168,152,1,NA,24.37,MB,M,B,NA,20.5,NA,NA,2017,JH,Nrich
168,152,1,NA,24.37,MB,M,R,NA,2.1,NA,NA,2017,JH,Nrich
168,152,1,NA,24.37,MB,M,B,NA,51.5,NA,NA,2017,JH,Nrich
168,152,1,NA,24.37,MB,M,R,NA,47.8,NA,NA,2017,JH,Nrich
168,152,1,NA,24.37,MB,M,B,NA,16.5,NA,NA,2017,JH,Nrich
168,152,1,NA,24.37,MB,M,R,NA,85.7,NA,NA,2017,JH,Nrich
169,152,1,NA,24.37,MB,M,R,NA,443.7,NA,NA,2017,JH,Nrich
169,152,1,NA,24.37,MB,M,B,NA,144.6,NA,NA,2017,JH,Nrich
169,152,1,NA,24.37,MB,M,R,NA,4.1,NA,NA,2017,JH,Nrich
169,152,1,NA,24.46,MB,M,B,NA,8.6,NA,NA,2017,JH,Nrich
170,153,1,91186.52333,24.46,MB,M,R,NA,601.1,NA,NA,2017,JH,Nrich
171,153,1,95710.25167,24.46,MB,M,R,NA,41.8,NA,NA,2017,JH,Nrich
171,153,1,95710.25167,24.46,MB,M,B,NA,4.7,NA,NA,2017,JH,Nrich
171,153,1,95710.25167,24.46,MB,M,R,NA,48.9,NA,NA,2017,JH,Nrich
171,153,2,95710.25167,24.86,MB,M,R,7.1,3.3,2.49985872,NA,2017,JH,Nrich
171,153,2,95710.25167,24.86,MB,M,B,NA,66.8,NA,NA,2017,JH,Nrich
171,153,2,95710.25167,24.86,MB,M,R,NA,428.5,NA,NA,2017,JH,Nrich
172,153,1,81034.26667,24.86,MB,M,R,NA,236.6,NA,NA,2017,JH,Nrich
172,153,2,81034.26667,24.86,MB,M,F,15,NA,16.84450888,NA,2017,JH,Nrich
172,153,3,81034.26667,24.86,MB,M,F,15,NA,20.12036307,4.232957286,2017,JH,Nrich
173,153,1,48681.80833,24.86,MB,M,R,NA,475.9,NA,NA,2017,JH,Nrich
173,153,1,48681.80833,24.86,MB,M,B,NA,88.3,NA,NA,2017,JH,Nrich
173,153,1,48681.80833,24.86,MB,M,R,NA,36.4,NA,NA,2017,JH,Nrich
174,153,1,73849.38,24.86,MB,M,R,NA,114.7,NA,NA,2017,JH,Nrich
174,153,2,73849.38,24.86,MB,M,F,15,NA,28.7589224,NA,2017,JH,Nrich
174,153,3,73849.38,24.86,MB,M,F,15,NA,23.26496858,0.729756951,2017,JH,Nrich
175,153,1,151326.9167,24.86,MB,M,SF,NA,NA,NA,NA,2017,JH,Nrich
175,153,2,151326.9167,24.86,MB,M,R,6.6,79.7,1.80545352,NA,2017,JH,Nrich
175,153,3,151326.9167,24.86,MB,M,F,15,NA,1.807571754,292.5918915,2017,JH,Nrich
175,153,4,151326.9167,25.23,MB,M,R,17.2,235,0.27776208,67.40810847,2017,JH,Nrich
175,153,4,151326.9167,25.23,MB,M,B,NA,4,NA,NA,2017,JH,Nrich
175,153,4,151326.9167,25.23,MB,M,R,NA,10.7,NA,NA,2017,JH,Nrich
